Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"School enrollment, primary (% net)",SE.PRM.NENR,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.3142471313477,95.8898773193359,94.3273468017578,..,91.7103118896484,91.1112899780273,..,..,..,90.2672882080078,89.3933334350586,91.0338668823242,93.2256622314453,96.137092590332,95.5457382202148,95.5173110961914,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.2998962402344,89.1774673461914,91.1517105102539,92.1860275268555,92.4985733032227,92.9985122680664,93.23486328125,93.3142700195313,95.3334808349609,96.4345703125,97.2560501098633,96.9777679443359,97.2624282836914,..,..,..,97.0621490478516,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.1990966796875,79.6908416748047,81.3394393920898,84.0123062133789,..,..,..,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.8214569091797,91.9822387695313,90.9836807250977,88.3396072387695,87.1452407836914,85.2781372070313,..,84.1432037353516,87.0461273193359,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,54.7928886413574,54.8650512695313,56.180118560791,57.2373580932617,57.960880279541,59.3347511291504,60.9686813354492,61.8909912109375,62.661449432373,64.3510131835938,65.585319519043,66.0524597167969,66.5750427246094,67.2568206787109,68.475830078125,68.9982833862305,69.9050827026367,70.9971771240234,71.6439666748047,71.6447067260742,71.9343414306641,72.5366668701172,69.9602508544922,70.3864517211914,72.5618515014648,71.7212371826172,73.8056106567383,74.3195114135742,74.5084991455078,75.3935089111328,76.2625885009766,77.7702407836914,78.9760971069336,79.6358871459961,80.4066772460938,80.9440307617188,81.2581481933594,82.0779571533203,82.7949371337891,82.9940185546875,84.2503433227539,84.3541107177734,85.5505676269531,84.7150192260742,84.3688125610352,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.2891006469727,99.1193771362305,..,..,98.9905166625977,98.6387176513672,98.8115615844727,98.8024215698242,99.0615386962891,99.0486526489258,99.0204391479492,98.6672592163086,98.8425674438477,98.9680709838867,99.0224380493164,99.3467864990234,..,..,..
"School enrollment, primary (% net)",SE.PRM.NENR,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.6697387695313,82.7872314453125,..,80.0821304321289,81.4126510620117,84.1355590820313,..,..,..,..,..,..,..,96.0742492675781,..,..
